num,title,image,label
0,中国驻菲大使馆：一中国公民遭绑架遇害,images/real_news_image/10632.jpg,0
1,钟南山院士看望林教授。临走时林教授哀求地说：救救我。,images/fake_news_image/6755.jpg,1
2,牛奶助眠，菠菜补铁！,images/fake_news_image/5043.jpg,1
3,白宫官员称伊朗可能最早在本周对以色列发动“重大”袭击,images/real_news_image/7751.jpg,0
4,内地游客赴港“新三样：看展、打卡、CityWalk,images/real_news_image/12433.jpg,0
5,6个月，全国快递业务量突破800亿件,images/real_news_image/10745.jpg,0
6,仍在扑救 山西临汾古县山火火线长约2公里,images/real_news_image/10849.jpg,0
7,企业档案存在失效一说,images/fake_news_image/9633.jpg,1
8,市场监管总局发布首批《食品安全风险管控清单》,images/real_news_image/12633.jpg,0
9,保荐未尽责，华西证券被暂停保荐业务资格,images/real_news_image/15104.jpg,0
10,中外科研人员研究证明火星北部曾经存在海洋,images/real_news_image/5733.jpg,0
11,俄罗斯多地举行庆祝海军节烟花表演,images/real_news_image/15283.jpg,0
12,牡丹江华龙二区发现一例新冠肺炎疫情，这人去雪乡玩传染上的，最近家人们出门戴口罩，注意防范意识,images/fake_news_image/6467.jpg,1
13,截至8月11日 暑运期间全国铁路累计发送旅客5.89亿人次,images/real_news_image/7753.jpg,0
14,甜味剂，帮你减肥,images/fake_news_image/4668.jpg,1
15,室温降下来就关 热了再开  这样是省电,images/fake_news_image/3943.jpg,1
16,“五一”节点一线监督 严防违规吃喝歪风反弹,images/real_news_image/3320.jpg,0
17,山西一高校通知学生6月返校直接毕业,images/fake_news_image/6725.jpg,1
18,事关隔离政策、封控时长等，最新回应！,images/fake_news_image/9009.jpg,1
19,沙特王储奖励球员每人一台价值700万的劳斯莱斯,images/fake_news_image/6059.jpg,1
20,八达岭野生动物园用流浪狗喂老虎 园方否认,images/fake_news_image/2998.jpg,1
21,降糖针是“减肥神药”,images/fake_news_image/8719.jpg,1
22,三部门发文：多措并举提升制造业企业供应链管理水平,images/real_news_image/13998.jpg,0
23,重庆两江竞技宣布解散球队 球迷现场深情道别,images/real_news_image/10260.jpg,0
24,常州溧阳一小学多名学生发热,images/fake_news_image/6662.jpg,1
25,兰州等地调控松绑 住建部称坚持房地产调控目标“毫不动摇”,images/fake_news_image/2796.jpg,1
26,中国外交部官员谈美国总统国家安全事务助理沙利文访华,images/real_news_image/6849.jpg,0
27,三部门明确金融消费者权益保护相关工作安排,images/real_news_image/10854.jpg,0
28,创历史最快纪录！港珠澳大桥今年出入境旅客超1000万人次,images/real_news_image/13966.jpg,0
29,阿勒泰成端午假期黑马目的地,images/real_news_image/13300.jpg,0
30,愚人节玩大了！三名大学生恶搞“宿舍凶杀案”被训诫,images/fake_news_image/3342.jpg,1
31,汽车空调温度越低油耗越高,images/fake_news_image/2949.jpg,1
32,美得州一中学聚会爆枪声 9名青少年受伤,images/real_news_image/3569.jpg,0
33,专访作词人尹约：创作似沉香，先受伤才能凝香,images/real_news_image/11909.jpg,0
34,手机刷不停，怎样预防干眼症？,images/real_news_image/14871.jpg,0
35,石家庄死了200多人,images/fake_news_image/9896.jpg,1
36,正式回归！朱婷入选中国女排世联赛名单,images/real_news_image/14014.jpg,0
37,中国首台专门观测行星际闪烁射电望远镜通过工艺测试,images/real_news_image/14841.jpg,0
38,黑龙江兴安煤矿发生安全事故 造成5人遇难,images/real_news_image/13943.jpg,0
39,生死七分钟 他用五组心肺复苏救回溺水老人,images/real_news_image/13247.jpg,0
40,无公害、绿色、有机果品三者完全相同,images/fake_news_image/4303.jpg,1
41,每年有6万人死于阳光   ,images/fake_news_image/4863.jpg,1
42,魏伟健魏巧英的钱包丢了,images/fake_news_image/3027.jpg,1
43,北大泌尿外科研究所所长周利群：精准微创技术造福更多疑难患者,images/real_news_image/4747.jpg,0
44,法国启动第二轮“解封”,images/real_news_image/14240.jpg,0
45,华南西南等地有较强降雨 局地有雷暴大风或冰雹等强对流天气,images/real_news_image/14652.jpg,0
46,外交部亚洲司负责人就G7和日本涉华消极动向提出严正交涉,images/real_news_image/3765.jpg,0
47,剧本娱乐行业里的年轻人：在创作和表达中实现梦想,images/real_news_image/3013.jpg,0
48,中国5月末M2同比增长7%，当月新增人民币贷款9500亿元,images/real_news_image/11891.jpg,0
49,“中国世界青年峰会”等一批非法社会组织被依法处置,images/real_news_image/13204.jpg,0
50,美知名投资家：美元作为顶级货币的时代“即将结束”丨世界观,images/real_news_image/5746.jpg,0
51,西藏民族传统体育运动从田野走进赛场,images/real_news_image/11258.jpg,0
52,外媒：以官员称美国暂停向以色列运送美制弹药,images/real_news_image/15194.jpg,0
53,民航局：一季度国内客运规模恢复至疫情前约九成,images/real_news_image/3798.jpg,0
54,英拍卖钻石镶框祖母绿眼镜 估价百万英镑,images/real_news_image/6003.jpg,0
55,"鱼肝油治弱视,按摩仪治弱视",images/fake_news_image/4476.jpg,1
56,“高原精灵”藏羚羊迁徙季 生态管护员长途“护航”,images/real_news_image/10221.jpg,0
57,甘肃祁连山区落雪与金秋“撞色”,images/real_news_image/11503.jpg,0
58,欧洲杯 | 英格兰险些出局 西班牙将战德国,images/real_news_image/10726.jpg,0
59,微信群存在黄赌毒所有群员被永久封号,images/fake_news_image/7055.jpg,1
60,神奇的止痒药真有那么神奇,images/fake_news_image/4894.jpg,1
61,蒜薹泡药水，大不了不吃呗！这回是香蕉，你又不吃,images/fake_news_image/4614.jpg,1
62,以色列用白磷弹攻击加沙居民区?,images/fake_news_image/5740.jpg,1
63,中新健康｜数学特别好的人，大脑都有这些特点,images/real_news_image/11796.jpg,0
64,亚行预测：亚太地区今明两年经济增速或达4.8%,images/real_news_image/6447.jpg,0
65,北京严禁超范围开展新冠病毒相关实验,images/real_news_image/5033.jpg,0
66,民政部等部门联合出台政策加快发展农村养老服务,images/real_news_image/12025.jpg,0
67,广西柳州水上派出所被淹  变“名副其实”水上派出所,images/real_news_image/15756.jpg,0
68,扫码找货、语音识别……空间站“管家”的智商又增高了,images/real_news_image/5736.jpg,0
69,雄黄酒驱蛇不靠谱 哪些“常识”误导了我们,images/fake_news_image/3583.jpg,1
70,东部战区持续位台岛周边开展“联合利剑—2024A”演习视频发布,images/real_news_image/13596.jpg,0
71,卡塔尔世界杯现场出现“唐僧”,images/fake_news_image/6053.jpg,1
72,日本富士山迎来“初冠雪”,images/real_news_image/11689.jpg,0
73,交通运输部：8月5日-8月11日全国货运物流有序运行,images/real_news_image/7774.jpg,0
74,巴勒斯坦各派在华达成《北京宣言》，为何是历史性的？,images/real_news_image/9087.jpg,0
75,渝昆高铁罗荣庄隧道贯通 云南段63座隧道已贯通23座,images/real_news_image/8393.jpg,0
76,四川红原月亮湾：蜿蜒曲折 美不胜收,images/real_news_image/3290.jpg,0
77,食盐里居然有剧毒氰化钾,images/fake_news_image/4628.jpg,1
78,报告：2022年中国40家上市银行净利润同比增6.96%,images/real_news_image/3731.jpg,0
79,羽衣甘蓝可以延缓衰老,images/fake_news_image/5261.jpg,1
80,暑期北京市属公园文物古建院落等周一不闭园,images/real_news_image/9823.jpg,0
81,新版50英镑即将出炉 “人工智能之父”登上新钞,images/real_news_image/13182.jpg,0
82,烤冷面筋道是因为加了硼砂,images/fake_news_image/4919.jpg,1
83,山东大学等高校撤销临床七年制和口腔七年制专业,images/fake_news_image/9605.jpg,1
84,塔里木盆地湿地与胡杨共染人间秋色,images/real_news_image/7466.jpg,0
85,斯里兰卡海域环境灾难持续 海岸现腐烂海龟尸体,images/real_news_image/12376.jpg,0
86,郊游遇到野鸟就会被传染H7N9,images/fake_news_image/7600.jpg,1
87,【洋腔队】广交会上的俄罗斯采购商：了解中国文化从中国菜开始,images/real_news_image/3096.jpg,0
88,南京支教大学生“直播带货”首秀记,images/real_news_image/15428.jpg,0
89,国家统计局：2024年全国早稻总产量2817.4万吨,images/real_news_image/6962.jpg,0
90,天津：京冀户籍居民在津购房 享天津户籍居民购房政策,images/real_news_image/15567.jpg,0
91,中新健康丨北京疾控提醒：发热、咽痛、皮疹，小心猩红热,images/real_news_image/13810.jpg,0
92,美国就仙宾礁冲撞事件发表声明，中国驻菲律宾使馆回应,images/real_news_image/7209.jpg,0
93,中科院公众科学日：“科普盛宴”让公众“遇见科学、预见未来”,images/real_news_image/2832.jpg,0
94,2023清明节天气地图：北方大部利出行 江南华南雨纷纷,images/real_news_image/4187.jpg,0
95,北方有大风降温沙尘 云黔桂等地有较强降雨,images/real_news_image/14563.jpg,0
96,中新健康丨智能温控超高功率消融导管：为房颤手术提供安全新方案,images/real_news_image/11054.jpg,0
97,世界多国地标建筑“集体变绿” 庆祝圣帕特里克节,images/real_news_image/13269.jpg,0
98,高配版！劳斯莱斯古董旋转木马面向公众开放,images/real_news_image/14597.jpg,0
99,北京重庆河北山东山西等地飞机喷洒打药全城消杀,images/fake_news_image/7975.jpg,1
100,埃及苏伊士运河收入在2023年第一季度创新高,images/real_news_image/3963.jpg,0
101,起底快递单广告：扫码抽奖套路满满 骗钱、推销 收集个人信息,images/real_news_image/11660.jpg,0
102,学驾校，45天快速拿证！,images/fake_news_image/6513.jpg,1
103,中新真探：大豆富含胰蛋白酶抑制剂，吃豆制品会影响蛋白质消化？,images/real_news_image/10891.jpg,0
104,上半年国民经济总体平稳 高质量发展取得积极进展,images/real_news_image/8543.jpg,0
105,高质量共建“一带一路”深受国际欢迎 中方介绍最新进展,images/real_news_image/9581.jpg,0
106,王毅会见日本前首相福田康夫,images/real_news_image/4273.jpg,0
107,领英调整中国业务战略 “领英职场”将停止服务,images/real_news_image/3038.jpg,0
108,高空看彩虹，真是长这样,images/fake_news_image/5204.jpg,1
109,注意防范！北京多区发布冰雹黄色预警,images/real_news_image/14112.jpg,0
110,【小新的vlog】2023北京半程马拉松开跑 记者第一视角带你感受“跑马”魅力,images/real_news_image/6265.jpg,0
111,英国将于4月5日起取消对自中国大陆入境者的行前新冠检测要求,images/real_news_image/4681.jpg,0
112,中新真探：服用阿司匹林可以预防心脏病？,images/real_news_image/9929.jpg,0
113,“五一”假期，重点餐饮企业销售额同比增长57.9%,images/real_news_image/3150.jpg,0
114,！四川德阳“中江机场建设成功”“仓山镇要修机场”,images/fake_news_image/8864.jpg,1
115,外卖起送价别成“狮子大开口”,images/real_news_image/3470.jpg,0
116,婴儿湿疹千万不能用激素,images/fake_news_image/7804.jpg,1
117,日本前首相安倍晋三国葬举行,images/real_news_image/9407.jpg,0
118,疫苗接种普查调查员申请加微信好友,images/fake_news_image/8180.jpg,1
119,陕西西安鱼化寨天桥塌陷,images/fake_news_image/6899.jpg,1
120,档案里的时光：正乙祠戏楼历史上第四次大修复情况如何？,images/real_news_image/12696.jpg,0
121,香港将军澳隧道观塘入口5车相撞 至少75人受伤,images/real_news_image/6616.jpg,0
122,晋源区出现新冠密接者了，太原市滨河湾物业管理有限公司已发布的一则《关于做好密切接触者的密切接触者管理工作的通知》,images/fake_news_image/6448.jpg,1
123,三名落马官员李鹏新、王一新、陈玉祥分别被“双开”,images/real_news_image/11729.jpg,0
124,国家科学技术奖励大会在北京举行,images/real_news_image/3271.jpg,0
125,中国教育部拟同意设置多所本科高等学校,images/real_news_image/14371.jpg,0
126,【中国城·国际范儿】这个地方让世界无法抗拒中医的魅力,images/real_news_image/7462.jpg,0
127,人这一辈子，一定要去一趟石家庄！,images/real_news_image/14782.jpg,0
128,兰州空气异味系一公司高炉煤气外排所致 目前已消除,images/real_news_image/9007.jpg,0
129,巴哈马正式承认巴勒斯坦国,images/real_news_image/15016.jpg,0
130,国风穿搭风靡中国高校毕业季,images/real_news_image/14765.jpg,0
131,（身边的变化）京津冀越走越近 共织交通网扩大“工作生活圈”,images/real_news_image/9656.jpg,0
132,2019年农村拆迁新标准，补偿3300一平,images/fake_news_image/4312.jpg,1
133,“黑暗攀登”兴起：社交平台促“夜爬族”欢聚山川,images/real_news_image/9448.jpg,0
134,264名乌克兰海军陆战队士兵向俄军投降,images/fake_news_image/6231.jpg,1
135,河南警方开车上高速不带灭火器扣6分,images/fake_news_image/2791.jpg,1
136,（八闽千姿）福建茶再续中法茶缘,images/real_news_image/9805.jpg,0
137,黄淮地区及四川盆地等地有强降雨 江南华南等地有持续性高温天气,images/real_news_image/9742.jpg,0
138,中新健康丨你舍不得买的头显，医生已经提前替你玩了,images/real_news_image/10535.jpg,0
139,中国新闻社社会责任报告（2023年度）,images/real_news_image/13012.jpg,0
140,你看这个粉皮它又Q又弹 原来竟是靠明矾！          ,images/fake_news_image/4004.jpg,1
141,新型冠状病毒在2018年就被发现了,images/fake_news_image/8581.jpg,1
142,应急管理部启动钢铁、铝加工、粉尘涉爆重点市专家指导服务,images/real_news_image/11652.jpg,0
143,中国新任驻日本大使吴江浩抵日履新,images/real_news_image/4571.jpg,0
144,国家网信办发布第六批深度合成服务算法备案信息,images/real_news_image/12139.jpg,0
145,中方：一切“台独”分裂行径都将遭到14亿多中国人民迎头痛击,images/real_news_image/13696.jpg,0
146,贵州“95后”苗族制茶师的新茶事,images/real_news_image/13427.jpg,0
147,固定套路+专门话术……警惕“网络算命”骗术,images/real_news_image/5403.jpg,0
148,“90后”海归在甘南卓尼大峪沟种菌子,images/real_news_image/16017.jpg,0
149,湖北襄阳：多孩家庭购买首套新房最高可补6万元,images/real_news_image/4085.jpg,0
150,患有甲状腺疾病，更容易得甲状腺癌,images/fake_news_image/8769.jpg,1
151,国家移民管理局：5月6日起出台便民利企出入境管理六项政策措施,images/real_news_image/15884.jpg,0
152,马龙、王楚钦、孙颖莎、陈梦、王曼昱等退出WTT果阿站比赛,images/real_news_image/5008.jpg,0
153,复苏起步，中国经济还有哪些“关”要闯？,images/real_news_image/4584.jpg,0
154,柿子和螃蟹一起吃会得结石，柿子和牛奶鸡蛋一起吃会腹泻。柿子真的“吃错能要命”,images/fake_news_image/6496.jpg,1
155,“米字操”可防颈椎病,images/fake_news_image/9939.jpg,1
156,中国女排澳门站名单出炉 朱婷2024国家队首秀,images/real_news_image/14037.jpg,0
157,幽门螺杆菌，一定要“赶尽杀绝”,images/fake_news_image/8836.jpg,1
158,咬舌真的那么容易自尽,images/fake_news_image/4713.jpg,1
159,新冠检测试剂盒出现“高阳性检出率”问题,images/fake_news_image/6574.jpg,1
160,6月29日新闻早报,images/real_news_image/10868.jpg,0
161,脸上长痘代表内脏有问题,images/fake_news_image/7246.jpg,1
162,西部半决赛森林狼队45分大胜掘金队，双方将进入抢七大战,images/real_news_image/14250.jpg,0
163,1万平方米的“耕作”，保护珊瑚的“海底农民”,images/real_news_image/6435.jpg,0
164,"来京返京核酸检测自费,春节聚餐不能超10人",images/fake_news_image/9680.jpg,1
165,鱼贩用“致癌鱼浮灵”让鱼起死回生,images/fake_news_image/3405.jpg,1
166,1天涌入上万个“朝鲜族公主” 年轻人为何喜欢去延吉？,images/real_news_image/14866.jpg,0
167,【图解】放大镜之屁股大的女人好生养,images/fake_news_image/4349.jpg,1
168,成都：133万粒积木颗粒拼成超85平方米“太阳神鸟”,images/real_news_image/14148.jpg,0
169,杭州解放路君亭酒店发现新冠肺炎疫情,images/fake_news_image/10136.jpg,1
170,2024年北京义务教育阶段入学政策发布,images/real_news_image/16298.jpg,0
171,自然资源部：积极稳步推进城中村改造工作 建设宜居、韧性、智慧城市,images/real_news_image/8833.jpg,0
172,孟加拉国东北部发生洪水灾害 受灾人数超73万人,images/real_news_image/12730.jpg,0
173,北京突降大雨 市民雨中出行,images/real_news_image/8259.jpg,0
174,小升初“掐尖”，为何屡禁不止？,images/real_news_image/13838.jpg,0
175,“钱家乔老爷”火锅中毒,images/fake_news_image/7716.jpg,1
176,【洋腔队】泰国养鸡专家扎根吉林16年 一口流利的“东北味儿”中文,images/real_news_image/2731.jpg,0
177,郑州即将取消限购，郑州市户口可放宽购买第三套，但是第三套必须是145平以上；外地户口可放宽买第二套了,images/fake_news_image/6499.jpg,1
178,国台办回应“2·14”撞船事件后续,images/real_news_image/8640.jpg,0
179,上海惊现“迷魂香皂”,images/fake_news_image/3444.jpg,1
180,将电脑桌面设置为绿色可护眼,images/fake_news_image/4900.jpg,1
181,两部门联合发文：每局剧本娱乐活动结束后必须进行一次防火巡查,images/real_news_image/6204.jpg,0
182,连云港通报海鲜商贩“鬼秤”事件：涉事商户被清理出场,images/real_news_image/14239.jpg,0
183,印尼鹰航客机在伊朗坠毁,images/fake_news_image/5571.jpg,1
184,书记省长现场看CBA，振兴“三大球”有大动作？,images/real_news_image/4579.jpg,0
185,村民违规向游客收取停车费 广西崇左官方责令整改整顿,images/real_news_image/9163.jpg,0
186,太阳进入暮年即将死机,images/fake_news_image/4502.jpg,1
187,巴黎市政厅广场“圣诞村”正式对外开放,images/real_news_image/14141.jpg,0
188,王毅同韩国外长赵兑烈举行会谈,images/real_news_image/14570.jpg,0
189,北极熊头戴“海藻”当假发 超有时尚感画面逗趣,images/real_news_image/11452.jpg,0
190,“九龙壁”龙头被咬掉,images/fake_news_image/7922.jpg,1
191,中国驻埃及使馆提醒赴埃中国游客谨慎选择热气球项目,images/real_news_image/15740.jpg,0
192,美“强烈鼓励”世卫组织邀台参加世卫大会 中方回应,images/real_news_image/3000.jpg,0
193,两部门：强降雨或持续多发 提前部署抢险救援力量,images/real_news_image/3092.jpg,0
194,南京大屠杀幸存者石秀英离世 享年98岁,images/real_news_image/9889.jpg,0
195,报告：全球绿色建筑革命有望释放1.8万亿美元市场机遇,images/real_news_image/11066.jpg,0
196,山西运城：黄河河道泥沙冲刷 形成“河中沙岛”,images/real_news_image/8455.jpg,0
197,流星雨妆点七月夜幕 “七仙女”伴“嫦娥”亮相,images/real_news_image/10549.jpg,0
198,油条酥脆是因为加了洗衣粉,images/fake_news_image/4685.jpg,1
199,山西运城：黄河河床现“大地血脉”景观,images/real_news_image/5693.jpg,0
200,近期又开始发烧是“复阳”了,images/fake_news_image/8875.jpg,1
201,这一视频是俄罗斯车臣军团到达乌克兰,images/fake_news_image/6256.jpg,1
202,国泰集团向香港特区政府偿还全数195亿港元投资,images/real_news_image/8468.jpg,0
203,安徽合肥：探访“钻石园丁”实验室里“种”钻石,images/real_news_image/10074.jpg,0
204,销分新政3月1日实施?东莞交警:政策暂时不变,images/fake_news_image/2697.jpg,1
205,面对感染高峰如何守护百姓生命安全？访国家卫健委医政司司长,images/real_news_image/5189.jpg,0
206,“边学副业边找工作”“零基础学月入过万”,images/fake_news_image/8887.jpg,1
207,河北清河县“2月4日将封城”,images/fake_news_image/9695.jpg,1
208,香港漫游记：《乾隆帝元宵行乐图》轴再现清朝宫廷节庆景象,images/real_news_image/12508.jpg,0
209,【2022大视界】见证全球，不寻常的这一年,images/real_news_image/9018.jpg,0
210,三岁幼童万米高空被噎 广西南宁为航班备降开辟生命通道,images/real_news_image/6840.jpg,0
211,压力过大睡觉易被“鬼压床”,images/fake_news_image/2679.jpg,1
212,中国乒协就近期“饭圈”乱象发布声明,images/real_news_image/7463.jpg,0
213,俄军用温压弹轰炸马里乌波尔画面曝光,images/fake_news_image/5440.jpg,1
214,统筹“破”与“立” 中国法院发挥破产审判“双重功能”,images/real_news_image/8994.jpg,0
215,老盛昌包子铺老板确诊新型冠状病毒被送医院,images/fake_news_image/8553.jpg,1
216,卡塔尔队3:1击败约旦队 卫冕亚洲杯冠军,images/real_news_image/6901.jpg,0
217,场面壮观！云南红河蝴蝶谷近亿只蝴蝶集中羽化成蝶,images/real_news_image/5565.jpg,0
218,注册会员还要被迫看广告 停车自助缴费“套路”怎么破？,images/real_news_image/3719.jpg,0
219,武商广场即将恢复营业,images/real_news_image/16326.jpg,0
220,中国科学家精确测量！银河系“体重”算出来了,images/real_news_image/3704.jpg,0
221,生鲜配送迎新玩家，“鲶鱼效应”能否搅动千亿市场？,images/real_news_image/12244.jpg,0
222,“五一”假期首两日澳门日均入境旅客人次同比增38.9%,images/real_news_image/15304.jpg,0
223,【洋腔队】在琼外国人：对海南自贸港封关运作充满期待,images/real_news_image/4090.jpg,0
224,内蒙古24岁大学生捐献造血干细胞 用爱为生命续航,images/real_news_image/5467.jpg,0
225,中新健康｜玩游戏“晕3D”何解？专家支招,images/real_news_image/6959.jpg,0
226,长江洪峰平稳过境南京 秦淮河入江口“泾渭分明”,images/real_news_image/15395.jpg,0
227,红心柚真的是激素注射得来的,images/fake_news_image/4299.jpg,1
228,基辅公路上俄罗斯战机被击落,images/fake_news_image/5525.jpg,1
229,猴痘蔓延至30国，它会成为新的大流行,images/fake_news_image/3828.jpg,1
230,！聊城：持独生子女证父母可领6000元,images/fake_news_image/7534.jpg,1
231,墨西哥一名医生在院子里用餐 与家人隔门相聚,images/real_news_image/16121.jpg,0
232,本想“为美买单”却落入“变美陷阱”？警惕“美容贷”,images/real_news_image/7382.jpg,0
233,北京：检修冬奥列车 保障冬奥会运输安全,images/real_news_image/2969.jpg,0
234,国家防总针对四川启动防汛四级应急响应,images/real_news_image/10265.jpg,0
235,金星大气中发现磷化氢，金星可能存在生命,images/fake_news_image/10093.jpg,1
236,新西兰总理警告美国要退出五眼联盟,images/fake_news_image/5762.jpg,1
237,中国官方谈商业银行净利润增速放缓：盈利仍处合理区间,images/real_news_image/7134.jpg,0
238,瑞安汀田汀六村村长选不上，他老婆跳楼自杀,images/fake_news_image/7487.jpg,1
239,国家统计局：2024年6月份居民消费价格同比上涨0.2%,images/real_news_image/10119.jpg,0
240,顺北油气田为何能成为我国首个以深地工程命名的项目？,images/real_news_image/2856.jpg,0
241,三星强迫中国员工下跪经销商不实 称为感恩爆炸门后继续订货,images/fake_news_image/7738.jpg,1
242,中国科学院若尔盖湿地生态研究站全面投入使用 助力全球湿地保护,images/real_news_image/8834.jpg,0
243,紫菜泡水掉色，客服同意赔钱,images/fake_news_image/4658.jpg,1
244,“95后”导游对话秦俑：愿做历史长河的“文化摆渡人”,images/real_news_image/10363.jpg,0
245,突尼斯总统赛义德宣布参加总统竞选,images/real_news_image/9465.jpg,0
246,定位志愿专业，不妨先定位自己,images/real_news_image/10286.jpg,0
247,珠海有轨电车1号线终止运营、拆除设施设备,images/real_news_image/15058.jpg,0
248,黄埔军校首任管理部主任林振雄之孙忆祖父往事,images/real_news_image/14224.jpg,0
249,【健康解码】硝酸甘油不能“吃”！,images/fake_news_image/2885.jpg,1
250,黑龙江双鸭山出现疫情了,images/fake_news_image/9760.jpg,1
251,“超级牛散”，被顶格处罚！,images/real_news_image/7362.jpg,0
252,戴口罩会导致肺结节，口罩上残留的环氧乙烷致癌,images/fake_news_image/8993.jpg,1
253,小寒过后应注意温养脾胃,images/real_news_image/4862.jpg,0
